algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,2000,7,10,2791818
mmClasicaFork,2000,7,11,2744938
mmClasicaFork,2000,7,12,2717035
mmClasicaFork,2000,7,13,2740691
mmClasicaFork,2000,7,14,2720711
mmClasicaFork,2000,7,15,2656981
mmClasicaFork,2000,7,16,2671986
mmClasicaFork,2000,7,17,2676715
mmClasicaFork,2000,7,18,2631511
mmClasicaFork,2000,7,19,2669115
mmClasicaFork,2000,7,20,2685581
mmClasicaFork,2000,7,21,2658075
mmClasicaFork,2000,7,22,2689180
mmClasicaFork,2000,7,23,2630059
mmClasicaFork,2000,7,24,2658067
mmClasicaFork,2000,7,25,2683970
mmClasicaFork,2000,7,26,2620777
mmClasicaFork,2000,7,27,2689760
mmClasicaFork,2000,7,28,2634661
mmClasicaFork,2000,7,29,2597518
mmClasicaFork,2000,7,30,2659718
mmClasicaFork,500,1,1,139187
mmClasicaFork,500,1,2,116817
mmClasicaFork,500,1,3,114824
mmClasicaFork,500,1,4,114827
mmClasicaFork,500,1,5,114569
mmClasicaFork,500,1,6,115906
mmClasicaFork,500,1,7,115134
mmClasicaFork,500,1,8,114595
mmClasicaFork,500,1,9,115187
mmClasicaFork,500,1,10,113416
mmClasicaFork,500,1,11,114524
mmClasicaFork,500,1,12,115257
mmClasicaFork,500,1,13,116151
mmClasicaFork,500,1,14,114580
mmClasicaFork,500,1,15,114283
mmClasicaFork,500,1,16,114678
mmClasicaFork,500,1,17,115140
mmClasicaFork,500,1,18,115506
mmClasicaFork,500,1,19,114435
mmClasicaFork,500,1,20,115584
mmClasicaFork,500,1,21,116032
mmClasicaFork,500,1,22,115994
mmClasicaFork,500,1,23,115843
mmClasicaFork,500,1,24,114339
mmClasicaFork,500,1,25,115850
mmClasicaFork,500,1,26,120419
mmClasicaFork,500,1,27,114551
mmClasicaFork,500,1,28,114745
mmClasicaFork,500,1,29,115877
mmClasicaFork,500,1,30,117415
mmClasicaFork,500,2,1,59311
mmClasicaFork,500,2,2,59641
mmClasicaFork,500,2,3,59147
mmClasicaFork,500,2,4,59812
mmClasicaFork,500,2,5,59005
mmClasicaFork,500,2,6,59363
mmClasicaFork,500,2,7,59135
mmClasicaFork,500,2,8,59548
mmClasicaFork,500,2,9,59471
mmClasicaFork,500,2,10,60205
mmClasicaFork,500,2,11,59534
mmClasicaFork,500,2,12,59425
mmClasicaFork,500,2,13,59186
mmClasicaFork,500,2,14,59603
mmClasicaFork,500,2,15,59718
mmClasicaFork,500,2,16,59638
mmClasicaFork,500,2,17,59279
mmClasicaFork,500,2,18,59003
mmClasicaFork,500,2,19,59967
mmClasicaFork,500,2,20,58629
mmClasicaFork,500,2,21,59579
mmClasicaFork,500,2,22,60124
mmClasicaFork,500,2,23,60017
mmClasicaFork,500,2,24,59155
mmClasicaFork,500,2,25,59436
mmClasicaFork,500,2,26,59399
mmClasicaFork,500,2,27,59895
mmClasicaFork,500,2,28,58673
mmClasicaFork,500,2,29,60761
mmClasicaFork,500,2,30,60546
mmClasicaFork,500,3,1,43628
mmClasicaFork,500,3,2,43934
mmClasicaFork,500,3,3,43911
mmClasicaFork,500,3,4,43876
mmClasicaFork,500,3,5,43336
mmClasicaFork,500,3,6,42575
mmClasicaFork,500,3,7,43111
mmClasicaFork,500,3,8,42736
mmClasicaFork,500,3,9,44064
mmClasicaFork,500,3,10,42924
mmClasicaFork,500,3,11,43309
mmClasicaFork,500,3,12,43701
mmClasicaFork,500,3,13,43158
mmClasicaFork,500,3,14,45009
mmClasicaFork,500,3,15,43939
mmClasicaFork,500,3,16,43618
mmClasicaFork,500,3,17,43763
mmClasicaFork,500,3,18,44255
mmClasicaFork,500,3,19,43670
mmClasicaFork,500,3,20,43788
mmClasicaFork,500,3,21,43671
mmClasicaFork,500,3,22,44385
